user_id,exp_group,event_date
51426,A,2025-01-01
58884,A,2025-01-01
77834,A,2025-01-01
42968,A,2025-01-01
55854,A,2025-01-01
52747,B,2025-01-01
84703,B,2025-01-01
8211,B,2025-01-01
45903,B,2025-01-01
95522,A,2025-01-01
28548,A,2025-01-01
98827,B,2025-01-01
63191,B,2025-01-01
26038,A,2025-01-01
22858,A,2025-01-01
73213,B,2025-01-01
8204,A,2025-01-01
45907,B,2025-01-01
2125,B,2025-01-01
22866,A,2025-01-01
2084,A,2025-01-01
9988,A,2025-01-01
83783,B,2025-01-01
60103,B,2025-01-01
87655,B,2025-01-01
18793,B,2025-01-01
2099,B,2025-01-01
47379,B,2025-01-01
84695,B,2025-01-01
52778,A,2025-01-01
25272,A,2025-01-01
63546,A,2025-01-01
86018,A,2025-01-01
2119,B,2025-01-01
15582,A,2025-01-01
49574,A,2025-01-01
79302,A,2025-01-01
11951,B,2025-01-01
15612,A,2025-01-01
22846,A,2025-01-01
79249,B,2025-01-01
27046,A,2025-01-01
80588,A,2025-01-01
15646,A,2025-01-01
2231,B,2025-01-01
84721,B,2025-01-01
18672,A,2025-01-01
54807,B,2025-01-01
95507,B,2025-01-01
88304,A,2025-01-01
65279,B,2025-01-01
79220,A,2025-01-01
59780,A,2025-01-01
44084,A,2025-01-01
52679,B,2025-01-01
69225,B,2025-01-01
73194,A,2025-01-01
44098,A,2025-01-01
31617,B,2025-01-01
44104,A,2025-01-01
63542,A,2025-01-01
9939,B,2025-01-01
2183,B,2025-01-01
60857,B,2025-01-01
5638,A,2025-01-01
5631,B,2025-01-01
75275,B,2025-01-01
86827,B,2025-01-01
81123,B,2025-01-01
36167,B,2025-01-01
18701,B,2025-01-01
62778,A,2025-01-01
42982,A,2025-01-01
49622,A,2025-01-01
59473,B,2025-01-01
38529,B,2025-01-01
63553,B,2025-01-01
83029,B,2025-01-01
18905,B,2025-01-01
98924,A,2025-01-01
55461,B,2025-01-01
25235,B,2025-01-01
5801,B,2025-01-01
56719,B,2025-01-01
73276,A,2025-01-01
64729,B,2025-01-01
49486,A,2025-01-01
68780,A,2025-01-01
83811,B,2025-01-01
93599,B,2025-01-01
18887,B,2025-01-01
31668,A,2025-01-01
69727,B,2025-01-01
1999,B,2025-01-01
89792,A,2025-01-01
5809,B,2025-01-01
42891,B,2025-01-01
22925,B,2025-01-01
15469,B,2025-01-01
52910,A,2025-01-01
36274,A,2025-01-01
30228,A,2025-01-01
10059,B,2025-01-01
89782,A,2025-01-01
44180,A,2025-01-01
49456,A,2025-01-01
8138,A,2025-01-01
10051,B,2025-01-01
57967,B,2025-01-01
22914,A,2025-01-01
74394,A,2025-01-01
59153,B,2025-01-01
8151,B,2025-01-01
69016,A,2025-01-01
18881,B,2025-01-01
49524,A,2025-01-01
26973,B,2025-01-01
22887,B,2025-01-01
81146,A,2025-01-01
75300,A,2025-01-01
41135,B,2025-01-01
65261,B,2025-01-01
13455,B,2025-01-01
58880,A,2025-01-01
90811,B,2025-01-01
45875,B,2025-01-01
83797,B,2025-01-01
68511,B,2025-01-01
26045,B,2025-01-01
86420,A,2025-01-01
5753,B,2025-01-01
77807,B,2025-01-01
15525,B,2025-01-01
15521,B,2025-01-01
49503,B,2025-01-01
98901,B,2025-01-01
83807,B,2025-01-01
81149,B,2025-01-01
55456,A,2025-01-01
13466,A,2025-01-01
11891,B,2025-01-01
55425,B,2025-01-01
71445,B,2025-01-01
44159,B,2025-01-01
44157,B,2025-01-01
30260,A,2025-01-01
21543,B,2025-01-01
31666,A,2025-01-01
25250,A,2025-01-01
73259,B,2025-01-01
15518,A,2025-01-01
38442,A,2025-01-01
84727,B,2025-01-01
38653,B,2025-01-01
15858,A,2025-01-01
66016,A,2025-01-01
12060,A,2025-01-01
84782,A,2025-01-01
85429,B,2025-01-01
57105,B,2025-01-01
71676,A,2025-01-01
60828,A,2025-01-01
91409,B,2025-01-01
65301,B,2025-01-01
22751,B,2025-01-01
75203,B,2025-01-01
60090,A,2025-01-01
63234,A,2025-01-01
5393,B,2025-01-01
43055,B,2025-01-01
40868,A,2025-01-01
49827,B,2025-01-01
38831,B,2025-01-01
64065,B,2025-01-01
2454,A,2025-01-01
31544,A,2025-01-01
87704,A,2025-01-01
58462,A,2025-01-01
84776,A,2025-01-01
85445,B,2025-01-01
25341,B,2025-01-01
18472,A,2025-01-01
35251,B,2025-01-01
40907,B,2025-01-01
22765,B,2025-01-01
58178,A,2025-01-01
97012,A,2025-01-01
43052,A,2025-01-01
8340,A,2025-01-01
65296,A,2025-01-01
92796,A,2025-01-01
21757,B,2025-01-01
97042,A,2025-01-01
94720,A,2025-01-01
18367,B,2025-01-01
18365,B,2025-01-01
38887,B,2025-01-01
63239,B,2025-01-01
22740,A,2025-01-01
77955,B,2025-01-01
82283,B,2025-01-01
40844,A,2025-01-01
25969,B,2025-01-01
54865,B,2025-01-01
36050,A,2025-01-01
85416,A,2025-01-01
12099,B,2025-01-01
30448,A,2025-01-01
36062,A,2025-01-01
76299,B,2025-01-01
2578,A,2025-01-01
64607,B,2025-01-01
30441,B,2025-01-01
5383,B,2025-01-01
63235,B,2025-01-01
82595,B,2025-01-01
21764,A,2025-01-01
2555,B,2025-01-01
15891,B,2025-01-01
33029,B,2025-01-01
9759,B,2025-01-01
2567,B,2025-01-01
49872,A,2025-01-01
2571,B,2025-01-01
9753,B,2025-01-01
52361,B,2025-01-01
2580,A,2025-01-01
38804,A,2025-01-01
